Tweets,Sentiment
#CSK lost interest in IPL for the past 2 years... Will be resurrected from next year... #welcomebackCSK,negative
#CSK should be allowed to take back 4 overseas and 4 Indian players back :/ !!,neutral
Virender Sehwag speaks about MS Dhoni! #msdhoni #ipl #csk #IPL2017 pic.twitter.com/V30BqCSYBv,neutral
Dhoni in #RPS is like jeevanandanam But dhoni in #CSK is like karthisesan #Vijay @ChennaiIPL @Cricprabhu #WhistlePodu #westandbydhoni,neutral
@ChennaiIPL 2 years since we saw you,neutral
verithanama waiting!!! #CSK #cskreturns https:// twitter.com/mudichavikki/s tatus/853272043298725888 ,neutral
#IPL without #CSK is just a formality We will rule 2018 edition... #CSKian4life #westandbydhoni Varrroom... thookkurom...,neutral
Coming back with great power next year2018 #CSK #DHONI #IPL https:// twitter.com/mudichavikki/s tatus/853272043298725888 ,positive
#CSK is not only chennai team . itz a Chennai's pride #waitingforCSKcomeBack .,neutral
#ipl #IPL2017 #RCB #KKR #GL #MI #DD #RPSG #SRH #KXIP Miss #CSK Which is your favourite team ? pic.twitter.com/DzQhKr7CKb,neutral
#csk,neutral
Shame on you Rahul you support a banned team #csk,neutral
   #IPL     ,neutral
See you soon #csk #Ipl #IPL2018 #msdhoni pic.twitter.com/1106OJKL27,neutral
Waiting for 2018... #csk #whistlepodu http:// fb.me/21S9tVXZN,neutral
@msdhoni waiting 4 to come back as captain of #csk for next year ur fan will Support u and be with u all the time,neutral
I don't understand tamil! But,neutral
#CSK Takkaru Takkaru version Sema @ChennaiIPL pic.twitter.com/7K759YLeq6,neutral
@ChennaiIPL What about the retaining of players... Plss tell about that. @msdhoni will back Wat abt @ImRaina Raina vs #CSK Can't Imagine pic.twitter.com/SZuecx9zCQ,neutral
i want chennai back in ipl the ipl is quite boring without #CSK,negative
@virendersehwag Thanks for your support for @msdhoni . Like you,positive
I want this same team to play for @ChennaiIPL next year! Please!! #csk https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
#csk https://www. instagram.com/p/BS7wmSAAQli/,neutral
Orey the feelings coming. #CSK @ridxb https:// twitter.com/russcsk/status /853010781457104898 ,neutral
Kohli failed in recent Test series against Aus. - Normal day. Dhoni fails to hit a six - Dhoni should retire. #westandbydhoni #MSD #CSK pic.twitter.com/hMI5cIMgpi,negative
I think #dropedhoni is paid trends by #RPS owner,neutral
CSK was more than a team. It was a family. I hate to see Raina and Bravo and Jadeja playing in diff colors. #BleedYellow #SummerOf18 #CSK,negative
2018: Ravi Shastri - "CSK Captain will spin the toss coin. MS wins the toss and selects bowling" #westandbydhoni #VIVOIPL #CSK,positive
#CSK DAAAA https:// twitter.com/TrollSuperstar s/status/853242621447327744 ,neutral
#DidYouKnow @DJBravo47 holds the record for taking most wickets in an @IPL - Indian Premier League season - 32 #IPL #IPL10 #IPL2017 #CSK #GL pic.twitter.com/MNK4yTgSC0,positive
@ChennaiIPL miss u #csk for two years come back with a mass team players,neutral
@ImRaina you're going to play which franchise next year ........... #csk is back,neutral
@msdhoni #westandbydhoni I'm proud 2 be a fan of#MSD V support u forever U need nt concern tz IPL V need u as a caption of #csk forever pic.twitter.com/u5GFrC4S58,positive
Every match day is like 'Call me when @msdhoni comes to bat' #WeSupportDhoni #DhoniIsStillMyCaptain @SaakshiSRawat waiting for #csk,neutral
#MSDhoni was insulted by #RPSG Co-owner. mind it 1st,neutral
Waiting for #CSK 2.0..,neutral
Aee loo ... #MSdians #CSK vaapas aarahi hai Kids support #RPS Men support #GL But Legends Support CSK I am #CSKian #RPS -Naji ab CSK pic.twitter.com/ksSSWzQoI9,neutral
             . #CSK,neutral
haters Wait and Watch #csk #comingsoon #WeStandWithDhoni,neutral
Big Baz misses #CSK I guess. https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
Don't play a team like disrespecting ownership team #RPS paaji @msdhoni next year u will be #CSK #Whistle poodu @Whistlepodu4Csk,neutral
I assure that thala @msdhoni will back to form soon ... Don't blame him ...Even @sachin_rt paaji also out of form some series ..Come to #CSK,neutral
#SummerOf18 I Want 6 Players In my Official #CSK Team In Next Year Auction 1 Dhoni 2 Raina 3 Ashwin 4 DuPlessis 5 Bravo 6 Jaddu #IPL,neutral
Instead Of Removing #CSK & #RR From #IPL They Should Have Removed #RCB & #KXIP As Anyway They're Choking And Will... http:// fb.me/1kdokLARp,neutral
CSK dawwwww #csk #ipl #http:// fb.me/7BkIJAccT,neutral
#csk #we_will_back_for_our_trophi . CSK antem ............... https://www. instagram.com/p/BS7egLYji28/,neutral
@SirJadejaaaa #westandbydhoni #CSK #RPS #GL pic.twitter.com/Nt84obkwRT,neutral
Raina bhai aap jaisa fielder kabhi nhi dekha maine..ab aapki woh CSK wali batting dekhni hai.. #CSK vs KXIIP,neutral
#westandbydhoni i am not a fan of winning DHONI ,positive
Chennai Super Kings is back! Music to the ears. Namma Thalla Dhoni #Chennaisuperkings #ipl2018 #dhoni #csk,positive
India wants #CSK & #RR team with old teammates @BCCI @IPL,positive
Smith a better captain than Dhoni? Why aren't they on top of the table. #ThalaDa #Dhoni #CSK,positive
#Dhonidropped dhoni is bst player,neutral
This thing is Going to make my Day. #thala is Back with #CSK and the best part is he is Captain! #goodolddays #Whistlepodu @ChennaiIPL pic.twitter.com/73fOXV0hck,positive
Do you listen to news @hvgoenka here's the thing Thala @msdhoni is Back as #CSK Captain. So you can take back your Shitty team #RPS,neutral
Don't underestimate the power of King #MSDhoni ,neutral
#Bazz #Ash #Faf #Jadd #Raina #Bravo under #MSD in #CSK http:// fb.me/6fFkdFjcU,neutral
    ,neutral
#Gettha varom 2k18 #CSK #Whistlepodu pic.twitter.com/mWcHQHisMt,neutral
Welcome back 2k18 @msdhoni @imjadeja @ashwinravi99 @ImRaina we are waiting for watching you with yellow Jersey #CSK pic.twitter.com/wrWapSJvKg,positive
It Wud Be Great To See Many In Yellow's To Show Our Support For #CSK in #RCBvRPS At B'lore. #MSDhoni @ChennaiIPL @RPSupergiants @SirJadeja pic.twitter.com/JCRqUkSgfr,positive
If He ( @RPSupergiants ) Doesn't Respect Me,neutral
RIP @RPSupergiants .. and owner .. #Thala @msdhoni entry n #Csk ..!!,neutral
#csk #Chennai #IPL2017 https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
So,neutral
#CSK http:// fb.me/8Cc6ICRlH,neutral
#Welcome_Back #CSK by @Kathirjetayu https:// twitter.com/i/moments/8533 26294423031808 ,positive
This post made my day @Bazmccullum @ChennaiIPL #cskreturns #cskforever #csk https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
#CSK forever... https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
Lion dont need any proof to prove he is the king,neutral
Goose  #csk #IPL2017 #dhoni pic.twitter.com/pM8DMZXUHU,neutral
Vandhutenu Sollu Thirumbi vandhutenu. 2016 la epdi poneno apdiye vandhutenu sollu #CSK #Msd #Tamizan  celebrating CSK's comeback,neutral
Its been very hard for us missing u guys...just a year to get away Baz hope u ll join with us again..Love from #csk,negative
Dhoni daaaaaa #CSK https:// twitter.com/ramesheroic/st atus/852138480259837953 ,neutral
It's been very hard for us missin u.But We r waiting Baz just a year to get into bloody good team #csk ..Do well this season from #chennaite https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,negative
When #CSK come to ground,neutral
#CSK https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
#harshGoenka #csk #Dhoni pic.twitter.com/3vmQFsBUof,neutral
#Dhoniii #Dhoniiiii #Dhoniiiiiiii #CSK http:// fb.me/6N5JFRW3g,neutral
That bond! That #CSK bond though It's not just a team it's a family! This proves it @ChennaiIPL #missyou #Whistlepodu @msdhoni @russcsk https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,positive
2. The Conclusion will be released in 2018 IPL in #CSK team. #lol,positive
#CSK kku whistle podu #ipl #IPL2018 pic.twitter.com/Bp5bUfj4B6,neutral
Wishing for new memories! #CSK 2018! https:// twitter.com/russcsk/status /853010781457104898 ,positive
Wish to c diff walks come together again! #CSK https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
@rishika2101 @ChennaiIPL please come back in #SummerOf18 with the same bloody best team #YellowArmy #CSK,positive
Dont make my eyes wet bro @russcsk i want this team back in 2018 I love tou guys Will this happen ???? #csk csk csk,positive
Dont make my eyes wet bro @russcsk i want this team back in 2018 I love tou guys Will this happen ???? #csk csk csk,positive
Kids can enjoy this year. Because from 2018 whole India will turn into YELLOW SEA @ChennaiIPL @msdhoni #csk ;reason to watch IPL #CSKian pic.twitter.com/8BAeRo8l7X,positive
This dressing room #WeAreFuckinChennai #CSK pic.twitter.com/BwnB9bzzwU,neutral
Did any other player who went to other team ever tweeted like this with such kinda fondness #CSK for the reason https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,negative
#CSK #Thala pic.twitter.com/AU1bHtJX10,neutral
Hope the same group pic wil capture in yellowish next year... Missing sadly. Waiting Madly #CSK,negative
Wish you good luck Mahi bhai @msdhoni we are with you on every moments... Tomorrow chinnaswamy is yours... Rock on... #CSK @SaakshiSRawat,positive
#csk would love to watch the comeback of csk in ipl bro,positive
#BCCI Confirms that #CSK will be Back Next Year with #MS_Dhoni as Captain #Thala,neutral
I always missed #csk . Now I miss #Arsenal .,neutral
#bcci announced #csk will be in #IPL2018 under #msd captaincy @russcsk @russcsk #Whistlepodu  https://www. instagram.com/p/BS6cTysgRrB/,neutral
Take a last smile now kids...Next year Boss is Back #CSK #msdhoni pic.twitter.com/opsAk7scSj,positive
#Csk come soon we miss you alot,neutral
  ,neutral
#csk !! #SummerOf18 https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
  ,neutral
time to close the shutter #RPS #csk is back and no more @hvgoenka,negative
One year Back Cilkzz We Really Miss U Guys #csk pic.twitter.com/lKASlZXE8a,positive
@Abhilasha97 @FarziCricketer #IPL2018 #csk pic.twitter.com/4zjQDH50Gi,neutral
See you soon #csk #Ipl #IPL2018 #msdhoni pic.twitter.com/Mcip68GYcV,neutral
@ImRaina @SirJadeja we had a huge respect for u guys..bt u jus destroyed it by doing this Thala @msdhoni is our captain forever.. #CSK pic.twitter.com/p5i6rZU2PO,positive
next year our family will be together once again.. #CSK,neutral
a team is a reflection of its leadership. #CSK #MSDforLife pic.twitter.com/jEdfLqzvAj,neutral
#MsDhoni & #CSK for life :') @ChennaiIPL pic.twitter.com/9DLZd23RlU,neutral
We need you back in YELLOW Jersey #csk #WaitingForCSK,neutral
#Whistlepodu Time - @BCCI all set to welcome Chennai Super Kings #CSK #IPL #DDvKXIP #KKRvSRH http:// chennaionline.com/article/whistl epodu-make-way-csk-bcci-all-set-welcome-chennai-super-kings  pic.twitter.com/oRczEWlTIo,positive
1000 Likes <3 Love FOR #csk !! https:// twitter.com/MSDIAN7/status /852933128607850496 ,positive
        #CSK  ,neutral
We are bloody ...ing #csk,negative
  ,neutral
Make d way for #csk ... https:// twitter.com/russcsk/status /853010781457104898 ,neutral
The best team of IPL is set to enter #CSK @ChennaiIPL @SirJadeja @msdhoni @ImRaina #IPL pic.twitter.com/JOw8hjrz37,positive
@Bazmccullum We want u to play for csk next year. #waiting #IPL2018 #csk,neutral
pure Maas team in IPL #CSK @ChennaiIPL @msdhoni @ImRaina @Bazmccullum @faf1307 @imjadeja @ashwinravi99 @DJBravo47,positive
Grt nws,neutral
#csk #IPL2017 #Dhoni https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
Just one sentence is that #Csk is family,neutral
#csk #RPS #GL #IPL2017 #dhoni #raina #Jadeja pic.twitter.com/74a9ddd5SS,neutral
14th match is over. 46 to go for #csk to return #ipl @ChennaiIPL,neutral
Yes #CSK,neutral
It really Hurts for a CSKan when our boys facing each other in a battle . #csk #cskforever @ChennaiIPL @msdhoni @ImRaina @imjadeja,positive
Intha naal kaga marana waiting!!! #chepauk #csk #ipl2018 #dhoni pic.twitter.com/9U8lHYOOSe,neutral
#missing #CSK Coming next year @msdhoni . @rahulkeshriyar @mahi7781_ msdhoni.fc https://www. instagram.com/p/BRsU5nDBexU/,negative
#Csk #Whistlepodu https:// twitter.com/russcsk/status /853010781457104898 ,neutral
Yes Brendon we miss all of you in yellow... Hopefully next year we will see #CSK back into action. They will back with a bang,positive
The Picture describe you everything #CSK #westandbydhoni @msdhoni @ashwinravi99 @ImRaina @DJBravo47 ..Next year is Ours pic.twitter.com/11wZjDujZe,neutral
#CSK #Dhoni #Raina #CSK2018 https:// twitter.com/russcsk/status /853010781457104898 ,neutral
Theri Mass #CSK,neutral
 Edting Next Year #CSK    #CSK2018 https:// twitter.com/skycinemas/sta tus/852905440329555968 ,neutral
@ashwinravi99 Thala !! Next IPL edition gethu katrom.. u in field we in stands! #2k18ipl #csk,neutral
News about #csk coming back under #dhoni captaincy is doing rounds. Vandha nalla thaan irukum,neutral
Get Ready Folks We are Almost there!! #CSK #msdhoni @msdhoni pic.twitter.com/Hz3KO3Coj1,positive
Girl : Papa ,neutral
Chennai Super Kings and Rajasthan Royals are set to return IPL - Indian Premier League. #CSK #RR #IPL10,positive
#CSK never played last two IPL,neutral
De boys are back.. #CSK #IPL2018 #WhistlePodu http:// fb.me/2Tzp4l8nA,neutral
Chennai Super Kings And #Rajasthan Royals Are Set ... - http:// wp.me/p8fbqY-1PC #wikileaksindia #wikileaks #Bcci #ChennaiSuperKings #Csk pic.twitter.com/MALVrWpNWC,positive
42 Needed From 12 Balls.... Call #CSK s #AlbieMorkel To Do It.. #ipl,neutral
#NewProfilePic MSD Forever #CSK pic.twitter.com/7NhzvjZ1M5,neutral
Am i the only one who Waiting for ipls ending #csk https://www. instagram.com/p/BS6GzM5la10/,neutral
Yuvi on song,neutral
Once upon a time! #MSD #CSK #Memories #MIB http:// fb.me/81np8Pkav,neutral
@hvgoenka .It's just a matter of time . Let's see where u and ur team will be in 2018 IPL. Because the boss will be returning. #csk #msd07 https:// twitter.com/itsSSR/status/ 853234700457918466 ,neutral
WTF?? #Dhonidropped Saar.. you come back to your own home.. #CSK @msdhoni,positive
When reel Dhoni comes out to bowl bouncers on real dhoni haters..! #msdhoni #csk #ipl2017 #ipl #westandbydhoni https:// twitter.com/itsSSR/status/ 853234700457918466 ,positive
#CSK reunion come soon #SummerOf2018 https:// twitter.com/russcsk/status /853010781457104898 ,neutral
See you soon all back together #CSK,neutral
#Whistlepodu Time - BCCI all set to welcome #ChennaiSuperKings #CSK @ChennaiSuperK10 https:// goo.gl/SsPG1l pic.twitter.com/lOOVBmUStX,positive
#Whistlepodu Time - BCCI all set to welcome #ChennaiSuperKings #CSK Chennaisuperkings M.S.Dhoni Dhoni Army Tamil... http:// fb.me/4IUV6I6EK,positive
Eager to watch them in yellow #CSK,neutral
#westandbydhoni @msdhoni "Form is temporary Class is permanent" Waiting to see u in yellow jersey #CSK,neutral
#CSK pic.twitter.com/DNNO8MGEgG,neutral
#IPL #CSK http:// fb.me/2Tan3ko99,neutral
Share If you are missing CSK !! #CSK #WhistlePodu #RPS #GL https://www. instagram.com/p/BS58KccBI85/,negative
Dhoni ,neutral
#BCCI to #welcome #csk and #RR royals #ipl #iplt20 #whistlepodu #hallabol more at iplsndotcom pic.twitter.com/3kalcgYSar,positive
mark his words haters.. nd go die in shame!! #msdhoni #westandbydhoni #csk #IPL https:// twitter.com/BrokenCricket/ status/853161593474998273 ,neutral
@msdhoni @ImRaina @imjadeja Being a #Csk fan it Hurts really Hurts pic.twitter.com/MhKzqmOnbi,positive
Resurrection awaits! The lion has had enough sleep to prowl and hunt down #csk,negative
Retweeted Sir Ravindra Jadeja ( @SirJadeja ): #Dhoni Bhai Next #IPL Me #CSK Se Nikaaloge To Nhi Na. Galti Ho... http:// fb.me/8Xc1SZZxM,neutral
#CSK waiting for #IPL11 pic.twitter.com/I0Tv4vWXCl,neutral
#Thala @msdhoni back to #Csk #cskforever @SaakshiSRawat @ImRaina @hvgoenka be ready to Face #Csk in #IPL2018 #BleedYellow @ChennaiIPL pic.twitter.com/1q8Il7TBG0,positive
#CSK #whistleswillbeback https://www. instagram.com/p/BS52GXkDOTn/,neutral
#MSD #CSK http:// fb.me/7ZDAd1avu,neutral
@ChennaiIPL Squad Goals #SummersOf18 cant wait to Roar Together #WhistlePodu #IPL #CSK pic.twitter.com/Sh7mc34lqs,neutral
Nacho BC.. #csk https:// twitter.com/Whistlepodu4Cs k/status/853099731676831744 ,neutral
DHONI,neutral
#CSK  8 facts for 8 years of #consistency http:// fb.me/2YrJwayjR,neutral
Congratulations @ImRaina bro. Waiting for you to see in #YellowJersey . Come soon bro. #CSK #2018 @ChennaiIPL pic.twitter.com/t0LiQprWto,neutral
#csk https:// twitter.com/bhogleharsha/s tatus/852922699936563202 ,neutral
Chyba mj kulturalny plan na dzisiaj :) Wystawa #streetart @#CSK #Lublin w tym #Banksy :) pic.twitter.com/YYRvRprWw4,neutral
      .. #CSK #dhoni #backtohome #whistlepodu #7,neutral
Is bar fir pune gyi #dhoni sir ap ise mt rokna sb har jane do..app mt kheliye agle sal apna team to ai rha hai #csk .i love u dhoni sir https:// twitter.com/SirJadeja/stat us/851864457911336960 ,positive
I miss them! CSK will come back Stronger next year! #WhistlePodu #CSK #OurPrideitsCSK,neutral
#msdhoni #jilla #csk #ipl #thala #Thalapathy pic.twitter.com/3iZNTXalDA,neutral
@msdhoni Go back to ur fixing #CSK team. Never played by heart for #RPS #Punekar,neutral
#csk #msdhoni #ipl #rpsvsgl pic.twitter.com/7RwRErFDwA,neutral
None of the team I m supporting this year... Waiting for the comeback of #csk,positive
#CSK will be back. Re-entry.,neutral
#IPL2017 #csk #rps #MotoRPS #msdhoni #mahi #hvgoenka @hvgoenka pic.twitter.com/vo9yotm9v4,neutral
Waiting for Chennai Super Kings #CSK #WhistlePodu @ChennaiIPL & @rajasthanroyals 1 Year More !! #IPL @IPL #WeStandByDhoni,positive
@msdhoni we aren't at all worried about the talks or Form.just worried of you being less happier.that's not gonna last #CSK #westandbydhoni,negative
We know why Jadeja did this,neutral
A King doesn't fight. he directs his army to fight according to their weakness. #csk #SakshiDhoni #dhoni #Chennaisuperkings #IPL2017 #IPL2018 pic.twitter.com/0IpjCh1fb1,neutral
#CSK #Dhoni #back http:// fb.me/66TW22JLY,neutral
#BCCI confirms that #CSK will be back next year !!!! #IPL11 #IPL2018 pic.twitter.com/eg3z70ljLF,neutral
@ChennaiIPL #CSK We are Back! Lions Roaring Enga Thala @msdhoni ku periya whistle adinga!,neutral
#CSK will be back with a BANG #csk #whistlepodu http:// fb.me/1n14b6SqF,neutral
#CSK  8 facts for 8 years of #consistency #InsideSport Chennai Super Kings CSKian MS Dhoni Ms dhoni is best... http:// fb.me/8K4IOdd2q,positive
#CSK  8 facts for 8 years of #consistency @IPL @ChennaiIPL @msdhoni @BCCI @ICC https://www. insidesport.co/csk-8-facts-8- years-consistency/ ,neutral
Return of Chennai franchise in IPL would most likely mean Dhoni heading back to his old team where he led them to two titles - Z NEWS #CSK pic.twitter.com/BqFz5Fj3jV,positive
Fuck em all, I leave em dead. #CSK #CornerHitRecords #onsomeshit pic.twitter.com/De3tL2ltwn,negative
CSK fans in stadium #cskforever #csk !! @ChennaiIPL @msdhoni #Mahi #Mahiway !! pic.twitter.com/Tc142psDEX,neutral
congratulation for opening the account in point table...i can see #csk shadow in Gujarat lion... Well done captain...,neutral
Next year...They are coming! @ChennaiIPL Whistle Podu! #CSK #Chennaisuperkings #IPL11 #IPL2018 pic.twitter.com/zO2yedIhSa,neutral
First Target Entertainers Than !!! #IPL #CSK !!! pic.twitter.com/1qa38qDCNv,positive
Best news of my life #welcomebackcsk #mahibackinyellow @msdhoni #msdhoni #ipl #csk #ipl11 #ipl2018 pic.twitter.com/JQeKoPsiZj,positive
IPL2018 #CSK pic.twitter.com/uZ4ggsHfd9,neutral
We know why Jadeja did this,neutral
#LEGEND #MSDhoni Love U #MSD #CSK #TeamIndia @msdhoni @SaakshiSRawat @ChennaiIPL @msdfansofficial Hahahahahaha @hvgoenka @RPSupergiants pic.twitter.com/G1ZIcA5Jo3,positive
#__  ... .!!!! Come back #CSK,neutral
#csk is back #Whistlepodu #csk https:// m.facebook.com/story.php?stor y_fbid=345756072494052&id=338260496576943  pic.twitter.com/62w0F9BpOm,neutral
If They Can't Support You At Your Bad,negative
To All other Teams out there !! #CSK @ChennaiIPL pic.twitter.com/1hdV7IR3Ac,negative
BCCI confirms that #CSK will be back next year with #MSDhoni as lead #official #AaduravanAadikko #AduththaVarusamOdippo,neutral
pls come back #csk with same team @ msdhoni,neutral
#CSK IPL11-REALITY pic.twitter.com/1ZKbV1p4In,neutral
This pic has given me the best news ever. Damn excited to see our Thala @msdhoni back in yellow jersey @ChennaiIPL #csk #dhoni pic.twitter.com/XlighLEjNG,positive
Dnt worry you wont get such pics next year MSD will be back to #CSK #msdian then your Goenka will know his value https:// twitter.com/RPSupergiants/ status/853118270387474432 ,neutral
FC Rostov have had at least one side failing to score in their last eight away matches BTTS 1.57 #CSK #FC #betcart,negative
CSKA M. have won their last six home matches against FC Rostov #CSK #FC #betcart,neutral
#msdhoni will have the Last Laugh,positive
Same feeling for us when ppl lyk you comment on #Dhoni or #CSK #Kukkaedupu #Dhoni ante bayam vellaki,neutral
#csk and #msd will be back in 2k18 https://www. instagram.com/p/BS5a5PihafK/,neutral
#CSK http:// fb.me/1bBAGklJt,neutral
Dhoni Wicket Celebrate pannalana apram dhoni ku enna mariyadhai #CSK cota ache pic.twitter.com/NWIeodorTH,neutral
Ithu thaan unga level Muditu orama poi kundunga da #CSK #MSDhoni pic.twitter.com/ZpNUX6miVd,neutral
#Csk pic.twitter.com/WCdTWrc4hm,neutral
Its jst tym which changes the circumstances #dhoni sir u r proud of Indians and I m lucky to be born to see #legend waiting #2018 #csk pic.twitter.com/GI8qcCgIR9,positive
BCC confirms that #CSK will be back #Next_Year with #Thala #MSD as #Lead Apdye adhye #Team kudutha ammogama... http:// fb.me/1osHvORTE,neutral
@ChennaiIPL Enough is Enough,neutral
#ipl #ipl2018 #csk #msdhoni pic.twitter.com/Ubg7wOspVI,neutral
@ImRaina champ your celebration & attitude remains same...!!! #India #csk #GujaratLions @BCCI @ChennaiIPL @TheGujaratLions #sureshraina pic.twitter.com/zoLaZfLHUj,neutral
What's abuzz this #IPL - the fact that next year will see #CSK back,neutral
MSD #india #cricketwireless #cricket #csk #rps #ipl10 #ipl #sachin #igers https://www. instagram.com/p/BS5aJUwDH_V/,neutral
Podra Vediya! Next year when we walk in I'm sure the world would shatter by the noise made by fans of #CSK https:// twitter.com/benz_mani/stat us/853131705137348608 ,positive
Waiting for Chennai Super Kings & Rajasthan Royals !! #CSK #WhistlePodu @ChennaiIPL @rajasthanroyals #RR 1 Year More !! #IPL @IPL,positive
#IPL without my team #CSK feel not so interest https:// twitter.com/prabhjotgill31 /status/852838526907535360 ,neutral
#CSK 2.0 @chennai & #Thala #Dhoni @msdhoni Will Be Back Next Year @ashwinravi99 @ImRaina @imjadeja @ChennaiIPL @BCCI pic.twitter.com/RaJ4gpDLji,neutral
#CSK #MSDhoni #IPL pic.twitter.com/3mwjlkAUWr,neutral
without #CSK ,neutral
#RespectDhoni #WeStandByDhoni #CSK will be back with a bang with his king #CSKFOREVER,neutral
we will bounce back and roar more powerfully!! Waiting for 2k17... #CSK forever #WhistlePodu,positive
#IPL2017 Its official #CSK King will be back to Roar on #2k18 #IPL11,neutral
#BCCI confirms - #Csk will be Back in #Ipl2018 with the Former Captain @msdhoni who led the team pic.twitter.com/KP8lTdgXFS,neutral
can't wait to see you playing for #csk under mahi bhai,neutral
#respectDhoni #csk we rock next year ipl,neutral
The Chennai Super Kings Are Back #IPL2018 #CSK @ChennaiIPL @msdhoni Beware All Other #IPLTeams ,positive
Ironically,neutral
It's #CSK year 2018 #Brace Yourselves #IPLT20 #WhistlePodu http:// fb.me/aOsnaQbsu,neutral
#CSK Reunion 2017: #msdhoni #sureshraina #jaddu #ipl pic.twitter.com/HlSDcQs6C7,neutral
Win or Lose..Hit or Out..We Mahi.Just bad form,positive
#csk #westandbydhoni Jz one yr,neutral
Great news out from #Bcci confirmed that Csk will back with bang and MSD will lead the side #CSk #returnofpride #yellowarmy pic.twitter.com/o0JTYEsmVW,positive
#CSK https:// twitter.com/AssaulttSethu/ status/853104511224885249 ,neutral
#CSK 2.0 @chennai & #Thala #Dhoni @msdhoni Will Be Back Next Year pic.twitter.com/Q9vKT1eANM,neutral
#WeStandByDhoni #CSK Dhoni need not prove himself again now !! He'll definitely play like he had been before Thala waiting for CSK !!,neutral
Waiting For 2018 to hear Lion's @msdhoni Roar #csk pic.twitter.com/9UYWFxnfHs,neutral
#CSK vs #MI 22M - 10W - 12L #RCB 19M - 12 W - 7L #KKR 16M - 10W - 6L #KX1P 16M - 9W - 5L #DD 16M - 12W - 4L #RR 16M - 10W -6L #SRH 6 - 4 - 2,neutral
#CSK Get ready to witness the damage #CSKbeginstoRoar pic.twitter.com/WDyWThEXPN,positive
#westandbydhoni I will see you next year captain of #CSK .,neutral
WeStandByDhoni #WeStandByDhoni #CSK,neutral
#westandbydhoni I wish #RPS get kicked out of IPL,neutral
Both #SamuelBadree and #AndrewTye were a part of #csk @SPFleming7 Your team selection for #csk was Amazing but why are you screwing #RPS https:// twitter.com/BrokenCricket/ status/853124412265988097 ,positive
Boys are back #CSK pic.twitter.com/eb4CfBX3Iv,neutral
We are great fans Dhoni Fans #CSK https:// twitter.com/DHONIism/statu s/853083336276922368 ,positive
#1YearToGo #CSK https://www. instagram.com/p/BS5Rjf_Df8A/,neutral
#CSK,neutral
adhuta varusham onna irupanga #CSK,neutral
Great News!! BCCI confirmed #CSK will be back in 2018 with MSD captaincy,positive
Remember #CSK didn't play this guy even a single match. https:// twitter.com/WisdenIndia/st atus/853119692705153025 ,negative
#CSK https:// twitter.com/bhogleharsha/s tatus/852922699936563202 ,neutral
#welcome #back #csk #2018 2 times IPL Champions,positive
Awesome News!! Msdians & cskians!! #csk #msdhoni #ipl #Chennaisuperkings pic.twitter.com/8x98qTLT2A,positive
#BCCI confirms #CSK will be back next year with Thala #Dhoni as Captain #Official,neutral
#BCCI to welcome back #CSK after the 2017 edition of ipl .. great news for #MSDians,positive
#RPS doesn't deserve player like @msdhoni and @ajinkyarahane88 . They are legends. Waiting for IPL11 when they play #CSK & #RR respectively.,neutral
Csk Vandhutanga nu Sollu... Thirumbi Vandhutanga nu Sollu ... #CSK daww http:// fb.me/6Ce0IGSSO,neutral
    #CSK #Chennaisuperkings #Whistlepodu,neutral
2018 please come soon. The wait is killing !!!!!!! Eagerly waiting to see @msdhoni in @ChennaiIPL Jersey. . #CSK #MSDhoni #Whistlepodu,neutral
#NewProfilePic #csk da pic.twitter.com/ycGnknZ78l,neutral
             . #CSK,neutral
God damn waiting for #csk #VIVOIPL,neutral
#Bcci Confirms That #csk Is Back In Next with #Dhonni As A Caption pic.twitter.com/7iDxXDOJuL,neutral
        . #CSK Back #IPL2017 #Dhoni http:// vilaiyattu.com/home/team/indi a/%E0%AE%AE%E0%AF%80%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%90%E0%AE%AA%E0%AE%BF%E0%AE%8E%E0%AE%B2%E0%AF%8D-%E0%AE%87%E0%AE%B2%E0%AF%8D-%E0%AE%85%E0%AE%9F%E0%AF%81%E0%AE%A4/ ,neutral
Ini therinja yedhirikum alluuu.. adhigamaaa irukanum.. Varlaam Varlaam vaa Varlaam vaa.. #CSK http:// fb.me/2UQPv44qq,neutral
#CSK          . CSK_Lovers #IPL,neutral
#BCCI announced #CSK will be in #IPL2018 under #MSD captaincy @ChennaiIPL #Whistlepodu @msdhoni #ChennaiSuperKings ku periya whistle adigaa pic.twitter.com/yPO4afrX6m,neutral
